,Temporada,Equipo,JJ,JG,JE,JP,GF,GC,DF,PTS
0,2023-24,Real Madrid,38,29,8,1,87,26,+61,95
1,2023-24,Barcelona,38,26,7,5,79,44,+35,85
2,2023-24,Girona,38,25,6,7,85,46,+39,81
3,2023-24,Atlético Madrid,38,24,4,10,70,43,+27,76
4,2023-24,Athletic Club,38,19,11,8,61,37,+24,68
5,2023-24,Real Sociedad,38,16,12,10,51,39,+12,60
6,2023-24,Real Betis,38,14,15,9,48,45,+3,57
7,2023-24,Villarreal,38,14,11,13,65,65,0,53
8,2023-24,Valencia,38,13,10,15,40,45,-5,49
9,2023-24,Alavés,38,12,10,16,36,46,-10,46
10,2023-24,Osasuna,38,12,9,17,45,56,-11,45
11,2023-24,Getafe,38,10,13,15,42,54,-12,43
12,2023-24,Celta Vigo,38,10,11,17,46,57,-11,41
13,2023-24,Sevilla FC,38,10,11,17,48,54,-6,41
14,2023-24,Mallorca,38,8,16,14,33,44,-11,40
15,2023-24,Las Palmas,38,10,10,18,33,47,-14,40
16,2023-24,Rayo Vallecano,38,8,14,16,29,48,-19,38
17,2023-24,Cádiz,38,6,15,17,26,55,-29,33
18,2023-24,Almería,38,3,12,23,43,75,-32,21
19,2023-24,Granada,38,4,9,25,38,79,-41,21
20,2022-23,Barcelona,38,28,4,6,70,20,+50,88
21,2022-23,Real Madrid,38,24,6,8,75,36,+39,78
22,2022-23,Atlético Madrid,38,23,8,7,70,33,+37,77
23,2022-23,Real Sociedad,38,21,8,9,51,35,+16,71
24,2022-23,Villarreal,38,19,7,12,59,40,+19,64
25,2022-23,Real Betis,38,17,9,12,46,41,+5,60
26,2022-23,Osasuna,38,15,8,15,37,42,-5,53
27,2022-23,Athletic Club,38,14,9,15,47,43,+4,51
28,2022-23,Mallorca,38,14,8,16,37,43,-6,50
29,2022-23,Girona,38,13,10,15,58,55,+3,49
30,2022-23,Rayo Vallecano,38,13,10,15,45,53,-8,49
31,2022-23,Sevilla FC,38,13,10,15,47,54,-7,49
32,2022-23,Celta Vigo,38,11,10,17,43,53,-10,43
33,2022-23,Cádiz,38,10,12,16,30,53,-23,42
34,2022-23,Getafe,38,10,12,16,34,45,-11,42
35,2022-23,Valencia,38,11,9,18,42,45,-3,42
36,2022-23,Almería,38,11,8,19,49,65,-16,41
37,2022-23,Real Valladolid,38,11,7,20,33,63,-30,40
38,2022-23,Espanyol,38,8,13,17,52,69,-17,37
39,2022-23,Elche,38,5,10,23,30,67,-37,25
40,2021-22,Real Madrid,38,26,8,4,80,31,+49,86
41,2021-22,Barcelona,38,21,10,7,68,38,+30,73
42,2021-22,Atlético Madrid,38,21,8,9,65,43,+22,71
43,2021-22,Sevilla FC,38,18,16,4,53,30,+23,70
44,2021-22,Real Betis,38,19,8,11,62,40,+22,65
45,2021-22,Real Sociedad,38,17,11,10,40,37,+3,62
46,2021-22,Villarreal,38,16,11,11,63,37,+26,59
47,2021-22,Athletic Club,38,14,13,11,43,36,+7,55
48,2021-22,Valencia,38,11,15,12,48,53,-5,48
49,2021-22,Osasuna,38,12,11,15,37,51,-14,47
50,2021-22,Celta Vigo,38,12,10,16,43,43,0,46
51,2021-22,Rayo Vallecano,38,11,9,18,39,50,-11,42
52,2021-22,Elche,38,11,9,18,40,52,-12,42
53,2021-22,Espanyol,38,10,12,16,40,53,-13,42
54,2021-22,Getafe,38,8,15,15,33,41,-8,39
55,2021-22,Mallorca,38,10,9,19,36,63,-27,39
56,2021-22,Cádiz,38,8,15,15,35,51,-16,39
57,2021-22,Granada,38,8,14,16,44,61,-17,38
58,2021-22,Levante,38,8,11,19,51,76,-25,35
59,2021-22,Alavés,38,8,7,23,31,65,-34,31
60,2020-21,Atlético Madrid,38,26,8,4,67,25,+42,86
61,2020-21,Real Madrid,38,25,9,4,67,28,+39,84
62,2020-21,Barcelona,38,24,7,7,85,38,+47,79
63,2020-21,Sevilla FC,38,24,5,9,53,33,+20,77
64,2020-21,Real Sociedad,38,17,11,10,59,38,+21,62
65,2020-21,Real Betis,38,17,10,11,50,50,0,61
66,2020-21,Villarreal,38,15,13,10,60,44,+16,58
67,2020-21,Celta Vigo,38,14,11,13,55,57,-2,53
68,2020-21,Granada,38,13,7,18,47,65,-18,46
69,2020-21,Athletic Club,38,11,13,14,46,42,+4,46
70,2020-21,Osasuna,38,11,11,16,37,48,-11,44
