,Temporada,Equipo,JJ,JG,JE,JP,GF,GC,DF,PTS
0,2023-24,Internazionale,38,29,7,2,89,22,+67,94
1,2023-24,AC Milan,38,22,9,7,76,49,+27,75
2,2023-24,Juventus,38,19,14,5,54,31,+23,71
3,2023-24,Atalanta,38,21,6,11,72,42,+30,69
4,2023-24,Bolonia,38,18,14,6,54,32,+22,68
5,2023-24,AS Roma,38,18,9,11,65,46,+19,63
6,2023-24,Lazio,38,18,7,13,49,39,+10,61
7,2023-24,Fiorentina,38,17,9,12,61,46,+15,60
8,2023-24,Torino,38,13,14,11,36,36,0,53
9,2023-24,Napoli,38,13,14,11,55,48,+7,53
10,2023-24,Génova,38,12,13,13,45,45,0,49
11,2023-24,Monza,38,11,12,15,39,51,-12,45
12,2023-24,Hellas Verona,38,9,11,18,38,51,-13,38
13,2023-24,Lecce,38,8,14,16,32,54,-22,38
14,2023-24,Udinese,38,6,19,13,37,53,-16,37
15,2023-24,Cagliari,38,8,12,18,42,68,-26,36
16,2023-24,Empoli,38,9,9,20,29,54,-25,36
17,2023-24,Frosinone,38,8,11,19,44,69,-25,35
18,2023-24,Sassuolo,38,7,9,22,43,75,-32,30
19,2023-24,Salernitana,38,2,11,25,32,81,-49,17
20,2022-23,Napoli,38,28,6,4,77,28,+49,90
21,2022-23,Lazio,38,22,8,8,60,30,+30,74
22,2022-23,Internazionale,38,23,3,12,71,42,+29,72
23,2022-23,AC Milan,38,20,10,8,64,43,+21,70
24,2022-23,Atalanta,38,19,7,12,66,48,+18,64
25,2022-23,AS Roma,38,18,9,11,50,38,+12,63
26,2022-23,Juventus,38,22,6,10,56,33,+23,62
27,2022-23,Fiorentina,38,15,11,12,53,43,+10,56
28,2022-23,Bolonia,38,14,12,12,53,49,+4,54
29,2022-23,Torino,38,14,11,13,42,41,+1,53
30,2022-23,Monza,38,14,10,14,48,52,-4,52
31,2022-23,Udinese,38,11,13,14,47,48,-1,46
32,2022-23,Sassuolo,38,12,9,17,47,61,-14,45
33,2022-23,Empoli,38,10,13,15,37,49,-12,43
34,2022-23,Salernitana,38,9,15,14,48,62,-14,42
35,2022-23,Lecce,38,8,12,18,33,46,-13,36
36,2022-23,Spezia,38,6,13,19,31,62,-31,31
37,2022-23,Hellas Verona,38,7,10,21,31,59,-28,31
38,2022-23,Cremonese,38,5,12,21,36,69,-33,27
39,2022-23,Sampdoria,38,3,10,25,24,71,-47,19
40,2021-22,AC Milan,38,26,8,4,69,31,+38,86
41,2021-22,Internazionale,38,25,9,4,84,32,+52,84
42,2021-22,Napoli,38,24,7,7,74,31,+43,79
43,2021-22,Juventus,38,20,10,8,57,37,+20,70
44,2021-22,Lazio,38,18,10,10,77,58,+19,64
45,2021-22,AS Roma,38,18,9,11,59,43,+16,63
46,2021-22,Fiorentina,38,19,5,14,59,51,+8,62
47,2021-22,Atalanta,38,16,11,11,65,48,+17,59
48,2021-22,Hellas Verona,38,14,11,13,65,59,+6,53
49,2021-22,Torino,38,13,11,14,46,41,+5,50
50,2021-22,Sassuolo,38,13,11,14,64,66,-2,50
51,2021-22,Udinese,38,11,14,13,61,58,+3,47
52,2021-22,Bolonia,38,12,10,16,44,55,-11,46
53,2021-22,Empoli,38,10,11,17,50,70,-20,41
54,2021-22,Sampdoria,38,10,6,22,46,63,-17,36
